week,Average Close Price
2017 week 35,4633.803372798572
2017 week 36,4410.995246214286
2017 week 37,3803.753365981429
2017 week 38,3806.070732288572
2017 week 39,4172.402722644286
2017 week 4,908.2462715757143
2017 week 40,4390.290754917142
2017 week 41,5274.651176022856
2017 week 42,5806.105005217143
2017 week 43,5815.854303344285
2017 week 44,6908.938376985715
2017 week 45,6786.307174122857
2017 week 46,7389.740053481428
2017 week 47,8416.325485544286
2017 week 48,10349.647073134285
2017 week 49,14320.752572505715
2017 week 5,988.2925618814287
2017 week 50,17530.182387271427
2017 week 51,15765.924134968573
2017 week 52,14364.495535615713
2017 week 6,1014.5002152714286
2017 week 7,1030.0710078857144
2017 week 8,1143.623503447143
2017 week 9,1240.3551131971428
2018 week 1,15585.654778265714
2018 week 10,9876.991386011428
2018 week 11,8462.936976095714
2018 week 12,8723.205015857142
2018 week 13,7383.2754551571425
2018 week 14,6958.56243362
2018 week 15,7539.981053052857
2018 week 16,8416.768753057144
2018 week 17,9222.217344667142
2018 week 18,9499.864269424286
2018 week 19,8945.460157279998
2018 week 2,14255.357163504286
2018 week 20,8401.504360971428
2018 week 21,7704.4367528
2018 week 22,7498.792506211429
2018 week 23,7496.039837804286
2018 week 24,6557.931980185714
2018 week 25,6479.688653067143
2018 week 26,6191.117603021428
2018 week 27,6632.889993
2018 week 28,6372.921649601429
2018 week 29,7309.429204505715
2018 week 3,11907.163388632855
2018 week 30,8119.005789344286
2018 week 31,7511.022717371429
2018 week 32,6466.410205499999
2018 week 33,6367.632035168572
2018 week 34,6550.825962817144
2018 week 35,7075.730941802858
2018 week 36,7255.24079169
2018 week 4,11237.941416467143
2018 week 5,9582.019947274284
2018 week 6,7982.73054132
2018 week 7,9817.594224095714
2018 week 8,10305.923065975716
2018 week 9,10888.3821875
